WK_STRT_DATE,CUST_NUM,DSCNT_NUM,MIXNMTCH_DSCNT_NUM,WFC_DGS1_OFR_NUM,PPC_COUP_SCAN_QTY,MIX_COUP_SCAN_QTY,DGS1_COUP_SCAN_QTY
2018-04-01,340,725923,0,0,4,0,0
2018-04-01,340,725923,0,0,4,0,0
2018-04-01,340,725923,0,0,4,0,0
2018-04-01,340,725923,0,0,4,0,0
2018-04-01,341,725923,0,0,4,0,0
2018-04-01,341,725923,0,0,4,0,0
2018-04-01,341,725923,0,0,4,0,0
2018-04-01,342,725923,0,0,6,0,0
2018-04-01,342,725923,0,0,6,0,0
2018-04-01,342,725923,0,0,6,0,0
2018-04-01,342,725923,0,0,6,0,0
2018-04-01,343,725923,0,0,1,0,0
2018-04-01,343,725923,0,0,1,0,0
2018-04-01,343,725923,0,0,1,0,0
2018-04-01,343,725923,0,0,1,0,0
2018-04-01,348,725923,0,0,3,0,0
2018-04-01,348,725923,0,0,3,0,0
2018-04-01,348,725923,0,0,3,0,0
2018-04-01,348,725923,0,0,3,0,0
2018-04-01,353,725923,0,0,7,0,0
2018-04-01,353,725923,0,0,7,0,0
2018-04-01,353,725923,0,0,7,0,0
2018-04-01,356,725923,0,0,12,0,0
2018-04-01,356,725923,0,0,12,0,0
2018-04-01,358,725923,0,0,9,0,0
2018-04-01,358,725923,0,0,9,0,0
2018-04-01,358,725923,0,0,9,0,0
2018-04-01,361,725923,0,0,1,0,0
2018-04-01,361,725923,0,0,1,0,0
2018-04-01,361,725923,0,0,1,0,0
2018-04-01,361,725923,0,0,1,0,0
2018-04-01,373,725923,0,0,7,0,0
2018-04-01,373,725923,0,0,7,0,0
2018-04-01,373,725923,0,0,7,0,0
2018-04-01,373,725923,0,0,7,0,0
2018-04-01,375,725923,0,0,1,0,0
2018-04-01,375,725923,0,0,1,0,0
2018-04-01,375,725923,0,0,1,0,0
2018-04-01,375,725923,0,0,1,0,0
2018-04-01,378,725923,0,0,14,0,0
2018-04-01,378,725923,0,0,14,0,0
2018-04-01,378,725923,0,0,14,0,0
2018-04-01,378,725923,0,0,14,0,0
2018-04-01,381,725923,0,0,1,0,0
2018-04-01,381,725923,0,0,1,0,0
2018-04-01,381,725923,0,0,1,0,0
2018-04-01,381,725923,0,0,1,0,0
2018-04-01,384,725923,0,0,5,0,0
2018-04-01,384,725923,0,0,5,0,0
2018-04-01,384,725923,0,0,5,0,0
2018-04-01,384,725923,0,0,5,0,0
2018-04-01,386,725923,0,0,3,0,0
2018-04-01,386,725923,0,0,3,0,0
2018-04-01,386,725923,0,0,3,0,0
2018-04-01,386,725923,0,0,3,0,0
2018-04-01,391,725923,0,0,4,0,0
2018-04-01,391,725923,0,0,4,0,0
